Rok produkcji,Przebieg,Pojemność skokowa,Moc,Spalanie W Mieście,Cena,Oferta od_Firmy,Oferta od_Osoby prywatnej,Rodzaj paliwa_Benzyna,Rodzaj paliwa_Diesel,Skrzynia biegów_Automatyczna,Skrzynia biegów_Manualna,Kraj pochodzenia_Inne,Kraj pochodzenia_Niemcy,Kraj pochodzenia_Polska,Zarejestrowany w Polsce_Nie,Zarejestrowany w Polsce_Tak
2015,112000,1395.0,125.0,6.0,56400,0,1,1,0,0,1,0,0,1,0,1
1997,230000,1781.0,75.0,11.0,3500,0,1,1,0,0,1,1,0,0,0,1
2007,126296,1390.0,140.0,9.0,19900,0,1,1,0,0,1,0,1,0,1,0
2007,367800,1896.0,105.0,6.0,14000,0,1,0,1,0,1,0,1,0,0,1
2008,293000,1896.0,105.0,8.0,13500,0,1,0,1,0,1,0,0,1,0,1
2018,151200,1395.0,125.0,6.0,75703,0,1,1,0,1,0,0,0,1,0,1
2017,136900,1395.0,125.0,6.0,63900,0,1,1,0,0,1,0,0,1,0,1
2009,189500,1595.0,102.0,9.0,26900,0,1,1,0,0,1,0,1,0,1,0
2018,113200,1395.0,125.0,6.0,72900,1,0,1,0,0,1,0,0,1,0,1
2011,304000,1598.0,105.0,4.7,22500,0,1,0,1,0,1,1,0,0,0,1
2005,189500,1595.0,102.0,9.0,15800,0,1,1,0,0,1,0,1,0,1,0
2018,104000,1598.0,115.0,4.1,68900,1,0,0,1,1,0,0,0,1,0,1
2020,182000,1498.0,150.0,6.6,67900,1,0,1,0,1,0,0,0,1,0,1
2020,180000,1598.0,115.0,4.6,56999,1,0,0,1,0,1,0,0,1,0,1
2020,54022,1498.0,150.0,6.1,80000,0,1,1,0,1,0,1,0,0,1,0
2023,8,1498.0,150.0,6.928000000000002,169900,1,0,1,0,1,0,0,0,1,1,0
2019,80000,1498.0,130.0,8.0,79900,1,0,1,0,0,1,0,0,1,0,1
2001,300000,1896.0,100.0,6.0,9000,0,1,0,1,0,1,0,1,0,0,1
2008,194000,1395.0,122.0,6.0,18900,0,1,1,0,0,1,1,0,0,1,0
2020,180000,1498.0,150.0,6.6,67900,1,0,1,0,1,0,0,0,1,0,1
2014,189736,1598.0,105.0,6.164663461538455,39999,1,0,0,1,0,1,0,1,0,0,1
2019,74674,1984.0,245.0,6.21623931623932,114900,1,0,1,0,1,0,0,0,1,0,1
2023,5,1984.0,245.0,6.21623931623932,190900,1,0,1,0,1,0,0,0,1,1,0
2018,49494,1498.0,150.0,6.928000000000002,99900,1,0,1,0,1,0,0,0,1,0,1
2015,230000,1395.0,150.0,6.7,48500,0,1,1,0,0,1,0,0,1,0,1
2016,241400,1598.0,110.0,4.5,39900,0,1,0,1,1,0,1,0,0,0,1
2010,279311,1598.0,105.0,5.0,21900,0,1,0,1,0,1,0,0,1,0,1
2015,232560,1598.0,110.0,3.9,38999,1,0,0,1,0,1,1,0,0,1,0
2023,5,1498.0,130.0,7.190939597315435,126900,1,0,1,0,0,1,0,0,1,1,0
2023,5,1498.0,130.0,7.190939597315435,126900,1,0,1,0,0,1,0,0,1,1,0
2018,139000,1598.0,115.0,4.7,58900,1,0,0,1,0,1,0,0,1,0,1
2020,133000,999.0,115.0,7.190939597315435,54900,1,0,1,0,0,1,0,0,1,0,1
2005,198121,1390.0,75.0,9.0,14900,0,1,1,0,0,1,0,1,0,1,0
2016,109266,1390.0,125.0,7.190939597315435,56999,1,0,1,0,0,1,0,0,1,0,1
2023,5,999.0,90.0,7.190939597315435,102900,1,0,1,0,0,1,0,0,1,1,0
2000,298000,1598.0,105.0,9.0,7500,0,1,1,0,0,1,0,1,0,1,0
2019,78000,1498.0,130.0,6.1,79900,1,0,1,0,1,0,0,0,1,0,1
2017,152401,1390.0,125.0,7.190939597315435,58000,1,0,1,0,0,1,0,0,1,0,1
2018,111932,1598.0,115.0,6.164663461538455,56000,1,0,0,1,0,1,0,0,1,0,1
2019,41027,1498.0,130.0,7.190939597315435,86999,1,0,1,0,1,0,0,0,1,0,1
2017,156000,1598.0,115.0,6.164663461538455,59900,0,1,0,1,0,1,0,1,0,0,1
2016,124520,1197.0,110.0,7.190939597315435,47499,1,0,1,0,0,1,0,0,1,0,1
2009,295000,1968.0,140.0,6.0,24990,0,1,0,1,0,1,0,0,1,0,1
2017,89500,1984.0,220.0,8.0,89900,0,1,1,0,1,0,1,0,0,0,1
2007,179000,1595.0,102.0,7.0,18900,0,1,1,0,0,1,0,1,0,1,0
2013,208100,1598.0,105.0,5.0,29999,1,0,0,1,0,1,0,0,1,0,1
2011,180000,1598.0,105.0,5.7,25900,0,1,0,1,0,1,0,1,0,0,1
2009,183000,1595.0,102.0,9.0,29900,0,1,1,0,0,1,0,1,0,1,0
2008,220000,1595.0,102.0,9.0,20700,0,1,1,0,0,1,0,1,0,1,0
2020,98000,999.0,115.0,5.5,55900,1,0,1,0,0,1,0,0,1,0,1
2018,121000,1498.0,150.0,6.5,86900,0,1,1,0,1,0,0,0,1,0,1
2018,100858,1598.0,115.0,6.164663461538455,66900,1,0,0,1,0,1,0,0,1,0,1
2010,194500,1598.0,105.0,6.164663461538455,35999,1,0,0,1,0,1,0,1,0,1,0
2010,245100,1390.0,122.0,8.0,21900,0,1,1,0,0,1,0,0,1,1,0
2009,217000,1390.0,122.0,8.0,24400,0,1,1,0,0,1,1,0,0,0,1
2011,153000,1968.0,170.0,6.5,50900,0,1,0,1,0,1,0,1,0,0,1
2004,242000,1968.0,75.0,6.0,9999,0,1,0,1,0,1,0,0,1,0,1
2011,151000,1197.0,105.0,6.0,25900,0,1,1,0,0,1,0,1,0,1,0
2021,30100,1984.0,245.0,6.21623931623932,177207,0,1,1,0,1,0,0,0,1,0,1
2009,152000,1390.0,122.0,8.3,19990,0,1,1,0,0,1,0,1,0,1,0
2009,198321,1595.0,102.0,11.0,26400,0,1,1,0,1,0,0,1,0,1,0
2002,375363,1896.0,100.0,6.0,8900,0,1,0,1,0,1,0,1,0,0,1
2009,237000,1896.0,105.0,6.164663461538455,17900,0,1,0,1,0,1,1,0,0,1,0
2020,94000,999.0,115.0,5.5,56900,1,0,1,0,0,1,0,0,1,0,1
2017,97500,1395.0,150.0,6.0,76900,0,1,1,0,1,0,1,0,0,0,1
2015,87550,1395.0,122.0,6.0,65500,0,1,1,0,1,0,0,0,1,0,1
2020,91000,999.0,115.0,5.5,57900,1,0,1,0,0,1,0,0,1,0,1
2017,175400,1395.0,150.0,6.0,65900,0,1,1,0,0,1,0,0,1,0,1
2008,203400,1595.0,102.0,9.0,22900,0,1,1,0,0,1,0,1,0,1,0
2019,93500,999.0,115.0,7.190939597315435,57000,0,1,1,0,0,1,0,0,1,1,0
2017,185000,1395.0,150.0,6.0,49900,1,0,1,0,0,1,0,0,1,0,1
2017,33600,1395.0,125.0,6.0,98000,0,1,1,0,0,1,0,0,1,0,1
2013,263000,1968.0,150.0,5.0,38800,0,1,0,1,1,0,0,1,0,1,0
2010,166000,1197.0,105.0,7.0,26900,0,1,1,0,0,1,0,1,0,1,0
2019,190875,1598.0,115.0,6.164663461538455,49900,1,0,0,1,0,1,0,0,1,0,1
2020,91000,999.0,115.0,7.190939597315435,57900,1,0,1,0,0,1,0,0,1,0,1
2020,129000,999.0,115.0,7.190939597315435,54900,1,0,1,0,0,1,0,0,1,0,1
2014,280000,1598.0,105.0,4.9,39350,0,1,0,1,0,1,0,0,1,0,1
2021,32038,1984.0,245.0,6.21623931623932,167280,0,1,1,0,1,0,0,0,1,0,1
2007,207123,1968.0,140.0,7.0,18800,1,0,0,1,0,1,1,0,0,1,0
1991,307600,1588.0,60.0,6.164663461538455,3999,0,1,0,1,0,1,1,0,0,1,0
2009,238400,1896.0,105.0,6.0,18900,0,1,0,1,0,1,0,1,0,1,0
2017,159000,1598.0,90.0,4.0,44900,1,0,0,1,0,1,0,0,1,0,1
2015,185111,1598.0,110.0,6.164663461538455,47900,1,0,0,1,0,1,0,1,0,1,0
2013,211000,1598.0,105.0,4.6,31900,0,1,0,1,0,1,0,1,0,1,0
2020,16200,1498.0,150.0,6.5,98000,0,1,1,0,0,1,0,0,1,0,1
2008,232000,1896.0,105.0,6.0,14900,0,1,0,1,0,1,0,1,0,1,0
1998,145000,1595.0,100.0,9.0,30000,0,1,1,0,0,1,0,1,0,0,1
2013,73000,1197.0,105.0,5.6,45900,0,1,1,0,1,0,1,0,0,0,1
2018,62000,1984.0,245.0,6.21623931623932,117900,0,1,1,0,1,0,0,0,1,0,1
2002,222222,1390.0,75.0,8.0,5900,0,1,1,0,0,1,0,1,0,1,0
2007,234000,1896.0,105.0,6.0,15900,0,1,0,1,0,1,0,1,0,1,0
2010,260000,1598.0,105.0,5.7,20800,1,0,0,1,0,1,1,0,0,1,0
2009,293000,1896.0,105.0,6.0,17999,0,1,0,1,0,1,0,1,0,0,1
2005,176000,1595.0,102.0,9.0,16900,0,1,1,0,0,1,0,1,0,1,0
2008,179876,1390.0,160.0,8.0,16999,0,1,1,0,0,1,0,1,0,1,0
2009,262000,1896.0,105.0,7.0,23900,0,1,0,1,1,0,0,1,0,0,1
2012,297021,1598.0,105.0,5.7,22900,0,1,0,1,0,1,1,0,0,1,0
2012,198112,1598.0,105.0,5.0,31500,0,1,0,1,1,0,1,0,0,0,1
