link,Oferta od,Kategoria,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie W Mieście,Typ nadwozia,Liczba drzwi,Liczba miejsc,Kolor,Kraj pochodzenia,Zarejestrowany w Polsce,Bezwypadkowy,Stan,Cena
https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-ID6F9ZSH.html,Osoby prywatnej,Osobowe,VII (2012-2020),2015,112000,1395.0,Benzyna,125.0,Manualna,Na przednie koła,6.0,Kompakt,5.0,5.0,Szary,Polska,Tak,Tak,Używane,56400
https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-1-8-ID6Fj5nC.html,Osoby prywatnej,Osobowe,III (1991-1998),1997,230000,1781.0,Benzyna,75.0,Manualna,Na przednie koła,11.0,Kompakt,2.0,5.0,Czarny,Inne,Tak,Tak,Używane,3500
https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-v-1-4-benzyna-140-km-126-tys-panorama-pdc-klima-alu-ID6Fk96Y.html,Osoby prywatnej,Osobowe,V (2003-2009),2007,126296,1390.0,Benzyna,140.0,Manualna,Na przednie koła,9.0,Kombi,5.0,5.0,Zielony,Niemcy,Nie,Tak,Używane,19900
https://www.otomoto.pl/oferta/volkswagen-golf-wersja-tour-105km-ID6Fkap7.html,Osoby prywatnej,Osobowe,V (2003-2009),2007,367800,1896.0,Diesel,105.0,Manualna,Na przednie koła,6.0,Kompakt,5.0,5.0,Srebrny,Niemcy,Tak,Tak,Używane,14000
https://www.otomoto.pl/oferta/volkswagen-golf-golf-5-1-9-tdi-z-polskiego-salonu-ID6FfUsE.html,Osoby prywatnej,Osobowe,,2008,293000,1896.0,Diesel,105.0,Manualna,Na przednie koła,8.0,Kompakt,5.0,5.0,Czarny,Polska,Tak,Tak,Używane,13500
https://www.otomoto.pl/oferta/volkswagen-golf-vii-1-4-tsi-bmt-highline-dsg-cesja-leasingu-ID6Fifpx.html,Osoby prywatnej,Osobowe,VII (2012-2020),2018,151200,1395.0,Benzyna,125.0,Automatyczna,Na przednie koła,6.0,Kombi,5.0,5.0,Biały,Polska,Tak,Tak,Używane,75703
https://www.otomoto.pl/oferta/volkswagen-golf-salon-polska-iwl-2017-po-liftingu-zadbany-ID6FkaeX.html,Osoby prywatnej,Osobowe,VII (2012-2020),2017,136900,1395.0,Benzyna,125.0,Manualna,Na przednie koła,6.0,Kompakt,5.0,5.0,Czarny,Polska,Tak,Tak,Używane,63900
https://www.otomoto.pl/oferta/volkswagen-golf-1-6-benzyna-102ps-alu-pdc-klima-import-z-niemiec-ID6FiZxC.html,Osoby prywatnej,Osobowe,VI (2008-2013),2009,189500,1595.0,Benzyna,102.0,Manualna,Na przednie koła,9.0,Kompakt,5.0,5.0,Srebrny,Niemcy,Nie,Tak,Używane,26900
https://www.otomoto.pl/oferta/volkswagen-golf-highline-1-4-tsi-125-km-salon-polska-gwarancja-dealer-vw-ID6Fk8Ag.html,Firmy,Osobowe,VII (2012-2020),2018,113200,1395.0,Benzyna,125.0,Manualna,Na przednie koła,6.0,Kompakt,5.0,5.0,Srebrny,Polska,Tak,Tak,Używane,72900
https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-vi-1-6-tdi-highline-ID6EXt8C.html,Osoby prywatnej,Osobowe,VI (2008-2013),2011,304000,1598.0,Diesel,105.0,Manualna,Na przednie koła,4.7,Kombi,5.0,5.0,Inny kolor,Inne,Tak,Tak,Używane,22500
