link,Oferta od,Kategoria,Generacja,Rok produkcji,Przebieg,Pojemność skokowa,Rodzaj paliwa,Moc,Skrzynia biegów,Napęd,Spalanie W Mieście,Typ nadwozia,Liczba drzwi,Liczba miejsc,Kolor,Kraj pochodzenia,Zarejestrowany w Polsce,Bezwypadkowy,Stan,Cena
https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-ID6F9ZSH.html,Osoby prywatnej,Osobowe,VII (2012-2020),2015,112 000 km,1 395 cm3,Benzyna,125 KM,Manualna,Na przednie koła,6 l/100km,Kompakt,5,5,Szary,Polska,Tak,Tak,Używane,56 400
https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-1-8-ID6Fj5nC.html,Osoby prywatnej,Osobowe,III (1991-1998),1997,230 000 km,1 781 cm3,Benzyna,75 KM,Manualna,Na przednie koła,11 l/100km,Kompakt,2,5,Czarny,,Tak,Tak,Używane,3 500
https://www.otomoto.pl/oferta/volkswagen-golf-po-wymianie-lancucha-rozrzadu-wraz-z-olejami-i-filtrami-bezwypadkowe-ID6FayrZ.html,Osoby prywatnej,Osobowe,V (2003-2009),2008,269 000 km,1 390 cm3,Benzyna,122 KM,Manualna,,,Kombi,5,5,Szary,Holandia,,Tak,Używane,16 500
https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-r-2-0-tsi-4motion-235-kw-320-km-dsg-7-stopniowa-ID6FjPy3.html,Firmy,Osobowe,VIII (2020-),2022,,1 984 cm3,Benzyna,,Automatyczna,4x4 (stały),,Kompakt,,,Biały,Polska,,Tak,Nowe,249 000
https://www.otomoto.pl/oferta/volkswagen-golf-r-dostepny-od-reki-leasing-104-ID6FjPxA.html,Firmy,Osobowe,VIII (2020-),2022,,1 984 cm3,Benzyna,,Automatyczna,4x4 (stały),,Kompakt,,,Czarny,Polska,,Tak,Nowe,251 700
https://www.otomoto.pl/oferta/volkswagen-golf-volkswagen-golf-v-1-4-benzyna-140-km-126-tys-panorama-pdc-klima-alu-ID6Fk96Y.html,Osoby prywatnej,Osobowe,V (2003-2009),2007,126 296 km,1 390 cm3,Benzyna,140 KM,Manualna,Na przednie koła,9 l/100km,Kombi,5,5,Zielony,Niemcy,,Tak,Używane,19 900
https://www.otomoto.pl/oferta/volkswagen-golf-wersja-tour-105km-ID6Fkap7.html,Osoby prywatnej,Osobowe,V (2003-2009),2007,367 800 km,1 896 cm3,Diesel,105 KM,Manualna,Na przednie koła,6 l/100km,Kompakt,5,5,Srebrny,Niemcy,Tak,Tak,Używane,14 000
https://www.otomoto.pl/oferta/volkswagen-golf-golf-5-1-9-tdi-z-polskiego-salonu-ID6FfUsE.html,Osoby prywatnej,Osobowe,,2008,293 000 km,1 896 cm3,Diesel,105 KM,Manualna,Na przednie koła,8 l/100km,Kompakt,5,5,Czarny,Polska,Tak,Tak,Używane,13 500
https://www.otomoto.pl/oferta/volkswagen-golf-vii-1-4-tsi-bmt-highline-dsg-cesja-leasingu-ID6Fifpx.html,Osoby prywatnej,Osobowe,VII (2012-2020),2018,151 200 km,1 395 cm3,Benzyna,125 KM,Automatyczna,Na przednie koła,6 l/100km,Kombi,5,5,Biały,Polska,Tak,Tak,Używane,75 703
https://www.otomoto.pl/oferta/volkswagen-golf-salon-polska-iwl-2017-po-liftingu-zadbany-ID6FkaeX.html,Osoby prywatnej,Osobowe,VII (2012-2020),2017,136 900 km,1 395 cm3,Benzyna,125 KM,Manualna,Na przednie koła,6 l/100km,Kompakt,5,5,Czarny,Polska,Tak,Tak,Używane,63 900
